,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
1587,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0.879999995,0.25,0,0,0,0,0,10.37872219,-85.67308044,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,3,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,1,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,2,3,0.649999976,2,2,10,2,1,10,21.23
1588,Nombre X,5,3,5,13,910,1.815000057,30,1,5.699999809,1.5,3,0,0,0,0,0,0.25,0.879999995,10.37872219,-85.67308044,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,3,3,0.649999976,2,2,10,2,1,10,21.23
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,1,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,3,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1597,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0.709999979,0.25,0,0,0,0,0,10.34880543,-85.73191833,3,3,4,3,1.860000014,0.360000014,0,1.5,0,0,0,0,2,3,0.629999995,2,1,9.800000191,2,1,9.800000191,21.3
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,1,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,3,3,0.400000006,2,1,6.699999809,2,1,6.699999809,22.33
1598,Nombre X,5,3,4,13,909,0.405000001,23.20000076,1,2.799999952,1.5,3,0,0,0,0,0,0.25,0.709999979,10.34880543,-85.73191833,3,3,4,3,1.860000014,0,0,0,0,1.5,0,0.360000014,2,3,0.629999995,2,1,9.800000191,2,1,9.800000191,21.3
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1003,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.35228348,-85.72915649,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1004,Nombre X,5,3,4,13,155,18.72500038,29.10000038,1,4.699999809,1.549999952,2,0.720000029,0.230000004,0,0,0,0,0,10.35228348,-85.72915649,3,3,4,3,1.909999967,0.360000014,0,1.549999952,0,0,0,0,3,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,1,3,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
1007,Nombre X,5,3,5,13,155,15.44999981,29.10000038,1,2.099999905,1.549999952,2,0,0,0,0,0,0.230000004,0.720000029,10.36010551,-85.70482635,3,3,4,3,1.909999967,0,0,0,0,1.549999952,0,0.360000014,2,6,0.649999976,2,2,9.699999809,2,1,9.699999809,31.99
