,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
1433,Nombre X,1,3,10,4,212,2.265000105,8.159999847,1,4.079999924,1.705000043,2,0.720000029,0.270000011,0,0,0,0,0,9.88457489,-84.03652191,1,1,2,1,2.255000114,0.550000012,0,1.705000043,0,0,0,0,1,1,0.349999994,1,1,8.159999847,3,1,8.159999847,36.09
474,Nombre X,3,4,1,9,10,34.83399963,8.899999619,1,4.650000095,2.099999905,1,0.699999988,0,0,0,0,0,0,9.901331902,-83.73600006,1,1,2,1,2.299999952,0.200000003,0,2.099999905,0,0,0,0,1,1,0.400000006,1,1,8.899999619,3,11,8.899999619,34.05
473,Nombre X,3,2,1,9,10,9.381999969,6.099999905,1,6.480000019,1.549999952,1,0,0,0,0,0.129999995,0,0.699999988,9.839694977,-83.87021637,1,1,2,1,2.300000191,0,0,0,0,1.549999952,0.600000024,0.150000006,1,6,0.400000006,1,1,6.099999905,3,11,6.099999905,38.81
769,Nombre X,2,3,5,6,118,11.31000042,8.350000381,1,2.599999905,1.5,2,0,0,0,0,0.25,0,0.720000029,10.0461731,-84.30271912,1,1,2,1,2.399999857,0,0,0,0,1.5,0.600000024,0.300000012,1,1,0.349999994,1,2,8.350000381,3,3,8.350000381,32.66
771,Nombre X,2,3,5,6,118,11.31000042,8.350000381,1,2.599999905,1.5,2,0.720000029,0,0.25,0,0,0,0,10.0461731,-84.30271912,1,1,2,1,2.400000095,0.300000012,0.600000024,1.5,0,0,0,0,1,1,0.349999994,1,2,8.350000381,3,3,8.350000381,32.66
832,Nombre X,2,7,2,7,135,9.864999771,5,1,2.700000048,1.50999999,2,0.720000029,0,0.07,0,0,0,0,10.04306984,-84.42984009,1,1,2,1,2.400000095,0.310000002,0.579999983,1.50999999,0,0,0,0,1,1,0.349999994,1,1,5,3,3,5,28.95
1208,Nombre X,6,3,3,18,246,0,50,1,6.800000191,2.450000048,2,1.100000024,0,0,0,0,0,1.100000024,8.949419022,-83.07305908,3,1,2,1,2.450000048,0,0,2.450000048,0,0,0,0,1,6,5,2,1,50,1,8,50,44.54
385,Nombre X,1,8,4,2,205,0.349999994,18,1,4.199999809,0,2,0.74000001,0,0,0,0,0,1,9.953986168,-84.03855896,3,1,2,1,2.49000001,0.230000004,2.25999999,0,0,0,0,0,1,3,0.569999993,3,1,18,2,1,18,28.35
1989,Nombre X,1,3,8,4,406,5.795000076,11.60000038,1,2.700000048,2.099999905,3,1.029999971,0.150000006,0,0,0,0,0,9.768166542,-84.02806091,1,1,2,1,2.529999971,0.430000007,0,2.099999905,0,0,0,0,1,3,0.5,2,1,11.60000038,2,1,11.60000038,23.33
2169,Nombre X,4,2,2,10,128,2.34100008,6.050000191,1,5.050000191,1.649999976,2,0.730000019,0,0.25999999,0,0,0,0,10.03804207,-84.14054871,1,1,2,1,2.549999952,0.300000012,0.600000024,1.649999976,0,0,0,0,1,1,0.400000006,1,2,6.050000191,3,1,6.050000191,33.83
1443,Nombre X,1,18,1,4,221,0.215000004,8.800000191,1,2.5,1.700000048,2,0,0,0,0,0.200000003,0,0.720000029,9.917300224,-84.03407288,1,1,2,1,2.550000191,0,0,0,0,1.700000048,0.850000024,0,1,3,0.579999983,3,1,8.800000191,2,1,8.800000191,35.77
989,Nombre X,1,6,1,4,209,9.529999733,5.769999981,1,2,1.690000057,2,0,0,0,0,0,0.239999995,0.720000029,9.859772682,-84.09416962,1,1,2,1,2.589999914,0,0,0,0,1.690000057,0.600000024,0.300000012,1,2,0.300000012,1,1,5.769999981,1,3,5.769999981,43.19
922,Nombre X,6,1,5,14,160,24.29000092,7.25,1,2.099999905,2.599999905,2,0,0,0,0,0,0,0.850000024,9.818749428,-84.93315887,1,1,2,1,2.599999905,0,0,0,0,2.599999905,0,0,1,6,0.529999971,2,1,7.25,2,1,7.25,33.21
1429,Nombre X,1,18,4,4,210,2.88499999,30,1,0.200000003,1.399999976,2,0,0,0,0,0.25,0,1.570000052,9.908341408,-84.04087067,1,1,2,1,2.599999905,0,0,0,0,1.399999976,1.200000048,0,1,2,1.25999999,2,2,30,1,1,30,36.18
2147,Nombre X,4,2,3,10,128,4.854000092,8.550000191,1,4.050000191,1.75,2,0,0,0,0,0.25,0,0.730000019,10.02023888,-84.13180542,1,1,2,1,2.649999857,0,0,0,0,1.75,0.600000024,0.300000012,1,3,0.649999976,1,2,8.75,3,1,8.75,32.46
558,Nombre X,2,1,9,5,3,17.08099937,15,1,7.199999809,1.389999986,1,0.850000024,0,0,0,0,0,0,10.00786114,-84.20719147,1,1,2,1,2.699999809,0.310000002,1,1.389999986,0,0,0,0,1,3,0.600000024,2,1,15,3,1,15,31.25
765,Nombre X,2,1,3,5,126,17.31999969,10,1,3,2.349999905,2,0,0,0,0,0,0.150000006,0.959999979,10.11454487,-84.16596222,1,1,2,1,2.699999809,0,0,0,0,2.349999905,0,0.349999994,1,3,0.660000026,1,2,7.5,3,1,7.5,33.42
268,Nombre X,2,1,7,5,107,6.691999912,7.900000095,1,1.899999976,2.700000048,2,0,0,0,0,0,0,0,10.06086731,-84.24913025,1,1,2,1,2.700000048,0,0,2.700000048,0,0,0,0,1,6,0.25,2,1,7.900000095,3,3,7.900000095,31.22
2161,Nombre X,4,5,4,10,113,9.024999619,2.75,1,1.25999999,0,2,0.899999976,0,0,0,0,0,0,10.05800724,-84.08956909,1,1,2,1,2.700000048,0.25,2.450000048,0,0,0,0,0,1,3,0.270000011,2,1,2.75,3,3,2.75,44.75
2049,Nombre X,2,6,8,6,726,2.220000029,4.199999809,1,2.25,2.5,3,0,0,0,0,0,0,0.449999988,10.09424686,-84.43117523,1,1,2,1,2.730000019,0,0,0,0,2.5,0,0.230000004,1,1,0.300000012,1,2,4.199999809,3,1,4.199999809,31.7
470,Nombre X,3,5,6,9,10,58.33800125,3.174999952,1,5.539999962,1.870000005,1,0.730000019,0,0.200000003,0,0,0,0,9.898832321,-83.62914276,1,1,2,1,2.769999981,0.300000012,0.600000024,1.870000005,0,0,0,0,1,1,0.349999994,1,1,3.174999952,3,11,3.174999952,37.05
638,Nombre X,1,8,1,2,201,0.388999999,10.44999981,1,4,0.689999998,2,0.829999983,0,0.129999995,0,0,0,0,9.942968369,-84.05110168,1,1,2,1,2.789999962,0.100000001,2,0.689999998,0,0,0,0,1,2,0.319999993,2,1,10.44999981,1,1,10.44999981,44.86
1024,Nombre X,5,3,9,13,152,13.93999958,7.900000095,1,2.599999905,1.899999976,2,0,0,0,0,0.079999998,0,0.649999976,10.30768108,-85.8075943,1,1,2,1,2.799999952,0,0,0,0,1.899999976,0.899999976,0,1,3,0.800000012,2,2,7.900000095,2,1,7.900000095,32.88
1492,Nombre X,5,1,1,11,918,1.325000048,25.39999962,1,3.799999952,1.649999976,3,0.980000019,0,0.150000006,0,0,0,0,10.62905598,-85.43377686,3,1,2,1,2.799999952,0,1.149999976,1.649999976,0,0,0,0,1,2,1.350000024,2,1,25.39999962,2,1,25.39999962,17.16
1493,Nombre X,5,1,1,11,918,1.325000048,25.39999962,1,3.799999952,1.649999976,3,0,0,0,0,0.150000006,0,0.980000019,10.62905598,-85.43377686,3,1,2,1,2.799999952,0,0,0,0,1.649999976,1.149999976,0,1,2,1.350000024,2,1,25.39999962,2,1,25.39999962,28.54
2060,Nombre X,2,6,8,6,726,0.180000007,6,1,2.549999952,2.630000114,3,0,0,0,0,0,0.5,0,10.08592892,-84.42546844,1,1,2,1,2.830000162,0,0,0,0,2.630000114,0,0.200000003,1,1,0.300000012,1,2,6,3,1,6,22.57
